"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Что из перечисленного предоставляет DMV?","Водительские записи","Регистрация车辆","Оба варианта","Ни один","Оба варианта"
"Сколько стоит запрос водительской записи (примерно)?","$5","$10","$15","$20","$15"
"Как часто нужно продлевать регистрацию автомобиля в NC?","Каждый год","Каждые 2 года","Каждые 5 лет","Каждые 10 лет","Каждый год"
"Что требуется для регистрации автомобиля?","Доказательство страховки","Название транспортного средства","Оба варианта","Ни один","Оба варианта"
"Какой минимальный уровень страховки требуется для регистрации?","$20,000/$40,000","$25,000/$50,000","$30,000/$60,000","$35,000/$70,000","$30,000/$60,000"
"Что делать при утере регистрационной карты?","Заплатить штраф","Заказать дубликат","Оба варианта","Ни один","Заказать дубликат"
"Какой орган проводит проверку выбросов в NC?","DMV","EPA","Полиция","Частные станции","Частные станции"
"Сколько времени дается на оплату налога после регистрации?","30 дней","60 дней","90 дней","120 дней","60 дней"
"Что такое 'Tag & Tax Together'?","Программа оплаты налога и регистрации","Штрафная система","Страховой план","Инспекция","Программа оплаты налога и регистрации"
"Какой тест требуется для большинства автомобилей в NC?","Тест на выбросы","Тест на скорость","Тест на шум","Ни один","Тест на выбросы"
"Можно ли перенести номерной знак на другой автомобиль?","Да","Нет","Только для грузовиков","Только для мотоциклов","Да"
"Сколько стоит дубликат утерянного титула (примерно)?","$10","$15","$20","$25","$20"
"Что делать при продаже автомобиля?","Передать титул","Снять номерной знак","Оба варианта","Ни один","Оба варианта"
"Как часто требуется проверка безопасности автомобиля?","Каждые 6 месяцев","Каждый год","Каждые 2 года","Не требуется","Каждый год"
"Что из перечисленного НЕ предоставляет DMV?","Страховка","Регистрация","Водительские записи","Титулы","Страховка"
"Какой срок действия временной регистрации?","10 дней","30 дней","60 дней","90 дней","30 дней"
"Что требуется для замены утерянного номерного знака?","Оплата сбора","Доказательство владения","Оба варианта","Ни один","Оба варианта"
"Можно ли оплатить налог на автомобиль онлайн?","Да","Нет","Только в офисе","Только по почте","Да"
"Какой штраф за просрочку регистрации?","До $50","До $100","До $250","До $500","До $250"
"Что делать, если вы переезжаете в NC с автомобилем?","Зарегистрировать в течение 30 дней","Ждать год","Оплатить штраф","Ничего","Зарегистрировать в течение 30 дней"
"Какая проверка НЕ требуется в некоторых округах NC?","Тест на выбросы","Тест безопасности","Оба варианта","Ни один","Тест на выбросы"
"Сколько стоит стандартная регистрация легкового автомобиля (примерно)?","$20","$30","$40","$50","$40"
"Что из перечисленного можно сделать в DMV?","Получить REAL ID","Оформить страховку","Пройти тест на выбросы","Оформить паспорт","Получить REAL ID"
"Какой документ подтверждает право собственности на автомобиль?","Регистрационная карта","Титул","Страховка","Водительская лицензия","Титул"
"Что требуется для переноса автомобиля на нового владельца?","Подписанный титул","Оплата налога","Оба варианта","Ни один","Оба варианта"
"Может ли DMV приостановить регистрацию?","Да, за неуплату","Нет","Только за DWI","Только за аварию","Да, за неуплату"
"Сколько времени дается на проверку выбросов после уведомления?","30 дней","60 дней","90 дней","120 дней","60 дней"
"Что из перечисленного входит в ежегодную проверку безопасности?","Тормоза","Шины","Оба варианта","Ни один","Оба варианта"
"Какой способ оплаты НЕ принимается в DMV?","Кредитная карта","Наличные","Криптовалюта","Чек","Криптовалюта"
"Что из этого является целью DMV?","Обеспечение безопасности дорог","Продажа автомобилей","Выдача паспортов","Страхование","Обеспечение безопасности дорог"
