"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Какой минимальный возраст для получения Learner Permit в Северной Каролине?","14","15","16","17","15"
"Сколько времени нужно иметь Learner Permit, прежде чем подать заявку на Provisional License для лиц до 18 лет?","6 месяцев","9 месяцев","12 месяцев","18 месяцев","12 месяцев"
"Какой тест НЕ требуется для получения оригинальной водительской лицензии?","Тест на слух","Тест на зрение","Тест на знание знаков","Тест на навыки вождения","Тест на слух"
"Что из перечисленного является обязательным документом для получения лицензии?","Счет за коммунальные услуги","Письмо от друга","Фотография","Ключи от машины","Счет за коммунальные услуги"
"Какой минимальный возраст для получения полной водительской лицензии без ограничений?","16","17","18","21","18"
"Что нужно сделать, чтобы получить Motorcycle Learner Permit?","Пройти тест на зрение","Иметь обычную лицензию","Пройти курс по мотоциклам","Все вышеперечисленное","Все вышеперечисленное"
"Какой тип лицензии выдается водителям от 15 до 18 лет в рамках Graduated Licensing?","Full License","Provisional License","Commercial License","Learner License","Provisional License"
"Какой навык НЕ проверяется во время теста на вождение?","Смена полосы","Парковка","Чтение карты","Трехточечный разворот","Чтение карты"
"Какой документ подтверждает законное пребывание в США для получения лицензии?","Водительская лицензия другого штата","Загранпаспорт","Сертификат об окончании школы","Письмо от работодателя","Загранпаспорт"
"Какой минимальный уровень страхования требуется в Северной Каролине?","$20,000/$40,000","$25,000/$50,000","$30,000/$60,000","$35,000/$70,000","$30,000/$60,000"
"Сколько стоит продление водительской лицензии в NC (примерная стоимость)?","$10","$20","$30","$40","$40"
"Что нужно сделать, если вы сменили адрес проживания?","Ничего, это необязательно","Сообщить в DMV в течение 60 дней","Подождать до продления лицензии","Оплатить штраф","Сообщить в DMV в течение 60 дней"
"Кто может подать заявку на REAL ID в Северной Каролине?","Только граждане США","Любой с доказательством законного пребывания","Только жители старше 21","Только ветераны","Любой с доказательством законного пребывания"
"Какой тест включает вопросы о дорожных знаках?","Vision Test","Knowledge Test","Driving Skills Test","Health Test","Knowledge Test"
"Сколько длится действие стандартной водительской лицензии для лиц старше 18?","4 года","5 лет","8 лет","10 лет","8 лет"
"Что нужно для получения No Fee ID Card?","Быть старше 65","Не иметь водительской лицензии","Иметь инвалидность","Быть студентом","Не иметь водительской лицензии"
"Какой орган выдает водительские лицензии в NC?","DMV","Sheriff’s Office","Highway Patrol","Department of Health","DMV"
"Можно ли продлить лицензию по почте?","Да, для всех","Нет, никогда","Да, для военных и некоторых случаев","Только для ветеранов","Да, для военных и некоторых случаев"
"Какой навык проверяется при выполнении трехточечного разворота?","Скорость","Точность управления","Чтение знаков","Общение с пешеходами","Точность управления"
"Что требуется для доказательства Social Security Number?","Номер телефона","Карта Social Security","Письмо от банка","Сертификат о рождении","Карта Social Security"
"Какой возраст нужен для подачи на Commercial Driver License (CDL)?","18","19","21","25","21"
"Что произойдет, если вы не предоставите доказательство страховки?","Вам откажут в лицензии","Вы получите временную лицензию","Штраф $50","Ничего","Вам откажут в лицензии"
"Какой тест проверяет вашу способность видеть знаки?","Knowledge Test","Vision Test","Driving Skills Test","Health Test","Vision Test"
"Что из этого НЕ относится к Graduated Licensing?","Learner Permit","Provisional License","Full License","Endorsement","Endorsement"
"Сколько стоит дубликат лицензии (примерно)?","$5","$10","$15","$20","$15"
"Что нужно показать для доказательства резидентства в NC?","Паспорт США","Счет за электричество","Студенческий билет","Кредитная карта","Счет за электричество"
"Какая часть теста на вождение включает парковку?","Vision Test","Knowledge Test","Driving Skills Test","Health Test","Driving Skills Test"
"Можно ли получить лицензию, если вы зарегистрированы как сексуальный преступник?","Нет, никогда","Да, с ограничениями","Да, без ограничений","Только после 10 лет","Да, с ограничениями"
"Какой документ НЕ нужен для лиц младше 18 лет?","Согласие родителей","Доказательство школьной успеваемости","Письмо от работодателя","Сертификат о рождении","Письмо от работодателя"
"Что из перечисленного является услугой DMV?","Регистрация избирателей","Выдача паспортов","Проверка зрения","Продажа страховки","Регистрация избирателей"
