"Вопрос","Вариант A","Вариант B","Вариант C","Вариант D","Правильный ответ"
"Что вы должны сделать, если приближается школьный автобус с мигающими красными огнями?","Продолжать движение","Ускориться","Остановиться","Снизить скорость","Остановиться"
"Какой минимальный возраст для использования детского автокресла в NC?","До 2 лет","До 4 лет","До 8 лет","До 12 лет","До 8 лет"
"За сколько футов до поворота вы должны подать сигнал?","50 футов","100 футов","200 футов","300 футов","200 футов"
"Что делать, если вы слышите сирену экстренной службы?","Уступить дорогу","Ускориться","Остановиться на месте","Продолжать движение","Уступить дорогу"
"Какой максимальный скоростной лимит в жилых районах, если не указано иное?","25 миль/ч","35 миль/ч","45 миль/ч","55 миль/ч","35 миль/ч"
"Что означает мигающий желтый свет на светофоре?","Остановиться","Уступить и продолжать осторожно","Двигаться быстрее","Поворот запрещен","Уступить и продолжать осторожно"
"Какое расстояние нужно держать за впереди идущей машиной на скорости 40 миль/ч?","1 секунда","2 секунды","3 секунды","4 секунды","3 секунды"
"Что делать при гидропланировании?","Резко затормозить","Плавно сбросить газ","Повернуть руль резко","Ускориться","Плавно сбросить газ"
"Какой знак обозначает рабочая зона?","Круглый красный","Желтый ромб","Зеленый квадрат","Белый прямоугольник","Желтый ромб"
"Что требуется для детей старше 8 лет в машине?","Детское кресло","Бустер","Ремень безопасности","Ничего","Ремень безопасности"
"Как правильно выполнить трехточечный разворот?","Использовать только одну полосу","Развернуться резко","Проверить слепые зоны","Оба C и A","Проверить слепые зоны"
"Что делать, если тормоза отказали?","Нажать на газ","Выключить двигатель","Использовать ручной тормоз плавно","Остановиться резко","Использовать ручной тормоз плавно"
"Какой знак требует полной остановки?","Перевернутый треугольник","Красный восьмиугольник","Желтый ромб","Круглый желтый","Красный восьмиугольник"
"Что запрещено при обгоне?","Пересекать двойную желтую линию","Обгон на повороте","Оба варианта","Ни один","Оба варианта"
"Как вести себя в густом тумане?","Включить дальний свет","Снизить скорость","Оба варианта","Ни один","Снизить скорость"
"Что делать при проколе шины?","Резко затормозить","Плавно сбросить скорость","Повернуть в сторону","Ускориться","Плавно сбросить скорость"
"Какой сигнал руки показывает поворот налево?","Правая рука вверх","Левая рука прямо","Левая рука вниз","Правая рука прямо","Левая рука прямо"
"Что делать при неработающем светофоре?","Продолжать движение","Остановиться полностью","Уступить дорогу","Ускориться","Уступить дорогу"
"Какой максимальный скоростной лимит на межштатных дорогах NC, если не указано иное?","55 миль/ч","65 миль/ч","70 миль/ч","75 миль/ч","70 миль/ч"
"Что из перечисленного является отвлекающим фактором?","Разговор по телефону","Еда за рулем","Оба варианта","Ни один","Оба варианта"
"Как вести себя при движении за сельскохозяйственной техникой?","Обгонять сразу","Держать дистанцию","Оба варианта","Ни один","Держать дистанцию"
"Что делать при скольжении на льду?","Резко затормозить","Повернуть в сторону скольжения","Плавно управлять","Ускориться","Плавно управлять"
"Какой знак указывает на железнодорожный переезд?","Круглый желтый с 'X'","Красный восьмиугольник","Желтый треугольник","Белый прямоугольник","Круглый желтый с 'X'"
"Что требуется при парковке на холме?","Повернуть колеса","Использовать ручной тормоз","Оба варианта","Ни один","Оба варианта"
"Какое действие запрещено в похоронной процессии?","Обгонять","Сигналить","Оба варианта","Ни один","Оба варианта"
"Что делать при ослеплении солнцем?","Включить дальний свет","Снизить скорость","Оба варианта","Ни один","Снизить скорость"
"Какой минимальный возраст для перевозки ребенка на переднем сиденье?","8 лет","10 лет","12 лет","13 лет","13 лет"
"Что означает мигающий красный свет?","Уступить","Остановиться полностью","Двигаться быстрее","Поворот разрешен","Остановиться полностью"
"Как правильно сменить полосу?","Подать сигнал заранее","Проверить слепые зоны","Оба варианта","Ни один","Оба варианта"
"Что делать, если застрял газовый рычаг?","Резко затормозить","Выключить зажигание","Нажать на газ","Повернуть резко","Выключить зажигание"
